cv_score,test_score,runtime,num_layers,total_tree_count,tree_depth,seed
0.7916940448493954,0.7916940448493954,329.0733138697222,4,1024,6,42
0.7914719768073116,0.7914719768073116,540.736578477174,2,2048,6,42
0.7896754693122794,0.7896754693122794,718.3081400074065,8,1024,8,42
0.790334673948353,0.790334673948353,1266.709541950561,8,2048,8,42
0.7896754693122794,0.7896754693122794,581.6886439299211,8,1024,8,42
0.7903422362851465,0.7903422362851465,527.969536189735,2,1024,8,42
0.7921168446712065,0.7921168446712065,604.7326853208244,4,1024,8,42
0.7921168446712065,0.7921168446712065,329.4204757101834,4,1024,8,42
0.7920158211255226,0.7920158211255226,1086.3115247476846,4,2048,8,42
0.790334673948353,0.790334673948353,1218.3377997340635,8,2048,8,42
0.7903422362851465,0.7903422362851465,746.6112484628335,2,1024,8,42
0.7916940448493954,0.7916940448493954,336.93420863952485,4,1024,6,42
