cv_score,test_score,runtime,num_layers,total_tree_count,tree_depth,seed
0.702753641906869,0.702753641906869,161.6720548113808,4,1024,6,42
0.7290695405140001,0.7290695405140001,298.0732305230573,2,2048,6,42
0.702623477748284,0.702623477748284,204.00127753466367,8,1024,8,42
0.6135018639821249,0.6135018639821249,240.39380590412765,8,2048,8,42
0.702623477748284,0.702623477748284,117.47759188264608,8,1024,8,42
0.7425217575498213,0.7425217575498213,305.87987922970206,2,1024,8,42
0.6991642935817056,0.6991642935817056,149.09027895368635,4,1024,8,42
0.6991642935817056,0.6991642935817056,139.66791704874487,4,1024,8,42
0.7064625455342256,0.7064625455342256,287.24706833753737,4,2048,8,42
0.6135018639821249,0.6135018639821249,211.50404467713088,8,2048,8,42
0.7425217575498213,0.7425217575498213,176.58842517845332,2,1024,8,42
0.702753641906869,0.702753641906869,157.48489143196494,4,1024,6,42
