cv_score,test_score,runtime,num_layers,total_tree_count,tree_depth,seed
0.5018021415074984,0.5018021415074984,31.86986250989139,4,1024,6,42
0.45017365052291075,0.45017365052291075,35.85284210443497,2,2048,6,42
0.4962977800700468,0.4962977800700468,63.65099138692021,8,1024,8,42
0.5003602757787993,0.5003602757787993,144.76801967155188,8,2048,8,42
0.4962977800700468,0.4962977800700468,69.24945783875883,8,1024,8,42
0.5075777400271676,0.5075777400271676,64.8440938912332,2,1024,8,42
0.5059736566654036,0.5059736566654036,47.788714721612635,4,1024,8,42
0.5059736566654036,0.5059736566654036,52.241627640277144,4,1024,8,42
0.49432279961492576,0.49432279961492576,95.65029011107981,4,2048,8,42
0.5003602757787993,0.5003602757787993,128.21188522335143,8,2048,8,42
0.5075777400271676,0.5075777400271676,61.061554533801974,2,1024,8,42
0.5018021415074984,0.5018021415074984,38.22509140428156,4,1024,6,42
