cv_score,test_score,runtime,num_layers,total_tree_count,tree_depth,seed
0.9339923867994269,0.9339923867994269,259.18100048284975,4,1024,6,42
0.5316519845886171,0.5316519845886171,129.0127345999703,2,2048,6,42
0.8437034541950383,0.8437034541950383,336.5881597734988,8,1024,8,42
0.6689352502056826,0.6689352502056826,563.5859259836376,8,2048,8,42
0.8437034541950383,0.8437034541950383,330.6082534186542,8,1024,8,42
0.8008499432850146,0.8008499432850146,411.33546391595155,2,1024,8,42
0.6670027544760442,0.6670027544760442,275.0973247731105,4,1024,8,42
0.6670027544760442,0.6670027544760442,270.59192110244186,4,1024,8,42
0.4861420857402421,0.4861420857402421,79.14087903983891,4,2048,8,42
0.6689352502056826,0.6689352502056826,507.26930050496014,8,2048,8,42
0.8008499432850146,0.8008499432850146,583.1429013526067,2,1024,8,42
0.9339923867994269,0.9339923867994269,321.19351932164284,4,1024,6,42
