cv_score,test_score,runtime,num_layers,total_tree_count,tree_depth,seed
0.5688233278463606,0.5688233278463606,23.124813043139874,4,1024,6,42
0.5721480505853068,0.5721480505853068,30.61102230474353,2,2048,6,42
0.5615721113652707,0.5615721113652707,46.540777654200795,8,1024,8,42
0.5627421633282657,0.5627421633282657,100.48168136831373,8,2048,8,42
0.5615721113652707,0.5615721113652707,46.539840324781835,8,1024,8,42
0.5690759516497979,0.5690759516497979,34.150642302818596,2,1024,8,42
0.5646347382716335,0.5646347382716335,45.94052940588445,4,1024,8,42
0.5646347382716335,0.5646347382716335,42.04176342003048,4,1024,8,42
0.5605820885993241,0.5605820885993241,72.45144342631102,4,2048,8,42
0.5627421633282657,0.5627421633282657,88.38437729161232,8,2048,8,42
0.5690759516497979,0.5690759516497979,42.448715227283536,2,1024,8,42
0.5688233278463606,0.5688233278463606,23.591531952284278,4,1024,6,42
