cv_score,test_score,runtime,num_layers,total_tree_count,tree_depth,seed
0.6961746036710654,0.6961746036710654,219.26802846454083,4,1024,6,42
0.681138235610879,0.681138235610879,558.7612912353128,2,2048,6,42
0.6883042300323531,0.6883042300323531,280.31841761972754,8,1024,8,42
0.6627510471601813,0.6627510471601813,395.5970177646726,8,2048,8,42
0.6883042300323531,0.6883042300323531,253.82898722570388,8,1024,8,42
0.67860822086119,0.67860822086119,583.0410084206611,2,1024,8,42
0.657735245940227,0.657735245940227,488.2332570211962,4,1024,8,42
0.657735245940227,0.657735245940227,645.3581854866818,4,1024,8,42
0.6796424905819,0.6796424905819,1012.182136532478,4,2048,8,42
0.6627510471601813,0.6627510471601813,546.4547488668934,8,2048,8,42
0.67860822086119,0.67860822086119,560.5760377120226,2,1024,8,42
0.6961746036710654,0.6961746036710654,306.73283933419737,4,1024,6,42
