iter	Logloss
0	0.6738748832
1	0.6590376027
2	0.6476492493
3	0.6334983711
4	0.6211706234
5	0.6089204202
6	0.5978930366
7	0.5884188207
8	0.5827541715
9	0.5709456034
10	0.5629533703
11	0.5573728634
12	0.5515122473
13	0.5440244582
14	0.5384524922
15	0.5338861176
16	0.528503205
17	0.523515502
18	0.519460817
19	0.5165043855
20	0.5119667324
21	0.5079921854
22	0.5033114434
23	0.4995428163
24	0.4961120671
25	0.4935437367
26	0.4918174848
27	0.4894865004
28	0.4873761722
29	0.4851592852
30	0.4836188643
31	0.4801864982
32	0.4788345826
33	0.4766581713
34	0.4742160827
35	0.4721350669
36	0.469569708
37	0.4680067479
38	0.4652605247
39	0.4630497267
40	0.4613026358
41	0.4594380757
42	0.4584371629
43	0.4567701593
44	0.4548205239
45	0.4528150681
46	0.4507157832
47	0.4497486415
48	0.4479357544
49	0.4470875088
50	0.4466608645
51	0.4461118782
52	0.4434737106
53	0.441974053
54	0.4412759131
55	0.4397789745
56	0.4373450575
57	0.4356199309
58	0.4346702192
59	0.433606011
60	0.4327973954
61	0.4316273894
62	0.4313755208
63	0.4307417336
64	0.4300722782
65	0.4296422406
66	0.4293703169
67	0.4283409164
68	0.4277672226
69	0.4270875092
70	0.4264423103
71	0.4258191656
72	0.4252834347
73	0.4250822015
74	0.424570664
75	0.4231887186
76	0.4226379669
77	0.4218961522
78	0.4203998522
79	0.4193704839
80	0.4187248981
81	0.4177607284
82	0.4168053755
83	0.4157933636
84	0.4152233173
85	0.4144571309
86	0.412634099
87	0.4116079355
88	0.4108803845
89	0.4104296252
90	0.4098776999
91	0.4091446033
92	0.4078480389
93	0.4068931493
94	0.4058402134
95	0.4056676143
96	0.4043145487
97	0.4041059062
98	0.4039890017
99	0.4038346421
100	0.4032561299
101	0.4030137708
102	0.4026476367
103	0.401829103
104	0.4000365911
105	0.3996381141
106	0.3988894487
107	0.3979066222
108	0.3967697195
109	0.3963060006
110	0.3956676043
111	0.3953204192
112	0.3947433725
113	0.3942281899
114	0.3937945942
115	0.3928107914
116	0.3923664173
117	0.3915885336
118	0.3910989774
119	0.3903685578
120	0.3896608499
121	0.3893845353
122	0.3886221028
123	0.3881900404
124	0.3874176811
125	0.3873585173
126	0.3863224696
127	0.3861192165
128	0.3860217378
129	0.3850088517
130	0.3843596306
131	0.3832971417
132	0.3824202922
133	0.3820965
134	0.3813385243
135	0.3800958022
136	0.3797182055
137	0.3790187055
138	0.3775599094
139	0.3775011744
140	0.3769265647
141	0.3764604907
142	0.3755934346
143	0.3753827558
144	0.3747864464
145	0.3743993318
146	0.3743951775
147	0.3736494675
148	0.3729077137
149	0.3724720337
150	0.3723106098
151	0.3718790985
152	0.371164894
153	0.3704407984
154	0.369523178
155	0.3683818664
156	0.3677908701
157	0.3668198767
158	0.3665095739
159	0.365888308
160	0.3653287853
161	0.364744965
162	0.3642467834
163	0.3636038967
164	0.3629563648
165	0.3620247297
166	0.3618831561
167	0.3611053883
168	0.3599817891
169	0.3594127284
170	0.3589716705
171	0.3580762783
172	0.3577198245
173	0.3571975565
174	0.3564439724
175	0.3555158055
176	0.3549460128
177	0.354402243
178	0.3533811613
179	0.3519724446
180	0.3511759838
181	0.3506198403
182	0.3505249208
183	0.3497030249
184	0.3490934513
185	0.3480318221
186	0.3478400432
187	0.3466967315
188	0.3459733455
189	0.3456518386
190	0.3451952953
191	0.3446561903
192	0.3445069543
193	0.3439146667
194	0.3431070782
195	0.3423958732
196	0.3411756366
197	0.3407733799
198	0.3399341529
199	0.3388810254
200	0.3378997989
201	0.3375195009
202	0.3365341868
203	0.3352302303
204	0.3340969888
205	0.3328927932
206	0.3314582021
207	0.3300635362
208	0.3286849727
209	0.3271399647
210	0.326554849
211	0.3262293999
212	0.3257830462
213	0.3249744175
214	0.3236188658
215	0.3227679458
216	0.3214981448
217	0.3208614413
218	0.3194620333
219	0.3189001865
220	0.3176617184
221	0.3171989132
222	0.316345736
223	0.3151653986
224	0.3143937221
225	0.3131089629
226	0.3122359359
227	0.3115041879
228	0.3110490783
229	0.3097848805
230	0.3092512982
231	0.3091101851
232	0.3083659327
233	0.3078772786
