cv_score,test_score,runtime,learning_rate,max_depth,reg_alpha,reg_lambda,n_estimators,early_stopping_rounds,max_cat_to_onehot,max_cat_threshold,n_jobs,random_state,verbosity,tree_method
0.676134725138814,0.676134725138814,19.016682247817517,0.03574712922600244,11,0.007177141927992002,0.0006155564318973012,1000,20,10,8,1,42,0,gpu_hist
0.6602411544354234,0.6602411544354234,31.779331237077713,0.01700037298921102,3,2.9152036385288193e-08,0.08499808989182997,1000,20,10,8,1,42,0,gpu_hist
0.683586997512403,0.683586997512403,9.264273012802004,0.07725378389307355,9,1.4610865886287176e-08,0.574485163632042,1000,20,10,8,1,42,0,gpu_hist
0.6611254630789631,0.6611254630789631,5.483273501135409,0.16967533607196555,4,2.8483918709107956e-07,2.9324868872723725e-07,1000,20,10,8,1,42,0,gpu_hist
0.6766804995031834,0.6766804995031834,17.11331513002515,0.028145092716060652,7,2.85469785779718e-05,2.1371407316372935e-06,1000,20,10,8,1,42,0,gpu_hist
0.6618094823502286,0.6618094823502286,11.177777695283293,0.08012737503998542,3,2.1734877073417355e-06,8.528933855762793e-06,1000,20,10,8,1,42,0,gpu_hist
0.6790919407839902,0.6790919407839902,14.596083412133158,0.04717052037625178,9,3.9572205641009174e-07,0.00012997969313168238,1000,20,10,8,1,42,0,gpu_hist
0.6580554020506001,0.6580554020506001,12.309522949904203,0.07500118950416987,2,0.0007250347382396634,2.3130924416844053e-07,1000,20,10,8,1,42,0,gpu_hist
0.6817649889410851,0.6817649889410851,29.64635174870491,0.012476394272569451,11,0.530953226900921,0.02932100047183291,1000,20,10,8,1,42,0,gpu_hist
0.6555099764735542,0.6555099764735542,20.274197231046855,0.028180680291847244,2,0.0029775853025212607,3.320625892007924e-05,1000,20,10,8,1,42,0,gpu_hist
0.6729363830460247,0.6729363830460247,20.217367108352484,0.015144860262751412,6,1.8841183049085085e-08,0.1881755597772026,1000,20,10,8,1,42,0,gpu_hist
0.681197705529303,0.681197705529303,15.39307095874101,0.024112898115291985,8,3.116654126398047e-06,0.00014472520367197597,1000,20,10,8,1,42,0,gpu_hist
0.6602931962694759,0.6602931962694759,9.533645910210907,0.06420330336297862,3,0.5710537951126793,0.01588775693167255,1000,20,10,8,1,42,0,gpu_hist
0.6627228355043769,0.6627228355043769,9.20760717652738,0.24420460844911424,10,0.0006070155694141794,0.23713402899336497,1000,20,10,8,1,42,0,gpu_hist
0.6596742950609829,0.6596742950609829,34.22441353742033,0.01351182947645082,3,2.300479202014574e-08,4.005370050283172e-06,1000,20,10,8,1,42,0,gpu_hist
0.6634486142631466,0.6634486142631466,16.973353472538292,0.03750796359625606,4,0.04264813784432918,7.145401117237584e-06,1000,20,10,8,1,42,0,gpu_hist
0.6787019808723658,0.6787019808723658,11.480654973164201,0.026000059117302653,7,1.3408920002835378e-07,0.026156272064707428,1000,20,10,8,1,42,0,gpu_hist
0.6748690182220222,0.6748690182220222,15.225781221315264,0.012886065671894011,11,0.015064619068942013,3.8879928024075543e-07,1000,20,10,8,1,42,0,gpu_hist
0.6767231362176906,0.6767231362176906,20.71167082451284,0.010189592979395137,10,0.0045170900739091345,0.006792933207180863,1000,20,10,8,1,42,0,gpu_hist
0.665171760193829,0.665171760193829,24.748013376817106,0.012670320565187606,5,1.1491548505141152e-08,0.43725311075573187,1000,20,10,8,1,42,0,gpu_hist
0.6837116999743762,0.6837116999743762,21.246733285300433,0.0140290714708038,8,1.1973746901422894e-08,0.6620394080632159,1000,20,10,8,1,42,0,gpu_hist
0.6812149174351229,0.6812149174351229,16.89289941880852,0.013907038136945738,8,1.661746611017586e-08,0.0037778715427663465,1000,20,10,8,1,42,0,gpu_hist
0.6785395916043467,0.6785395916043467,7.399029945768416,0.10837638336318267,8,5.497028009892961e-06,0.005448846857912594,1000,20,10,8,1,42,0,gpu_hist
0.677863610925374,0.677863610925374,4.8156733883544804,0.11243026711447163,8,1.0968327091006448e-08,1.3764889125314381e-08,1000,20,10,8,1,42,0,gpu_hist
0.6769793090795234,0.6769793090795234,7.062998877838254,0.10939072435383797,9,2.9774030815770146e-06,0.0016651355840082427,1000,20,10,8,1,42,0,gpu_hist
0.6864299873828785,0.6864299873828785,28.24388218279928,0.01097324104940504,11,5.662499488710121e-05,0.9292493243152639,1000,20,10,8,1,42,0,gpu_hist
0.6804050446420835,0.6804050446420835,19.96874104142189,0.013029911057013068,11,3.1991996228653803e-05,0.5804769301492785,1000,20,10,8,1,42,0,gpu_hist
0.6863687858791241,0.6863687858791241,25.12754471749067,0.010907863682082639,11,9.477267716874349e-05,0.9593859121308631,1000,20,10,8,1,42,0,gpu_hist
0.6865097507935125,0.6865097507935125,24.97403399720788,0.010457065772553613,11,6.740896086333476e-05,0.9292571575087086,1000,20,10,8,1,42,0,gpu_hist
0.6844833567439512,0.6844833567439512,21.909602054767312,0.011965353227648084,10,7.62924513780751e-05,0.8146153028254177,1000,20,10,8,1,42,0,gpu_hist
0.6821128879109931,0.6821128879109931,9.639467966929079,0.049851336791047876,10,4.034383886267463e-05,0.5677521877558722,1000,20,10,8,1,42,0,gpu_hist
0.6834576730876256,0.6834576730876256,27.105005372874437,0.010380836837556013,10,0.0001303231671795179,0.6845493054917579,1000,20,10,8,1,42,0,gpu_hist
0.6821809256590382,0.6821809256590382,23.606790415011346,0.010541701509481726,10,3.210413369981224e-05,0.5657373289098723,1000,20,10,8,1,42,0,gpu_hist
0.680858703829044,0.680858703829044,19.129131582006814,0.010027957646707754,10,6.646697598010664e-05,0.5820465363603573,1000,20,10,8,1,42,0,gpu_hist
0.683359343738618,0.683359343738618,16.838245161622762,0.019290215303243007,10,1.8893712654550837e-05,0.6785547221448867,1000,20,10,8,1,42,0,gpu_hist
0.6847782213624706,0.6847782213624706,15.57824112251401,0.020746504524927246,10,4.585709320809201e-05,0.5819326116900989,1000,20,10,8,1,42,0,gpu_hist
0.6870783553031539,0.6870783553031539,10.363575211912394,0.04622516995548843,9,1.8221398807612087e-07,0.9774268191873483,1000,20,10,8,1,42,0,gpu_hist
0.6867023118398881,0.6867023118398881,14.651529985107482,0.019409024346855087,9,1.1642977133514654e-07,0.6706849409321647,1000,20,10,8,1,42,0,gpu_hist
0.6770800467484202,0.6770800467484202,16.228530420176686,0.018526288472724767,10,0.00017487840243705937,0.07179893314560556,1000,20,10,8,1,42,0,gpu_hist
0.6760326437419797,0.6760326437419797,27.782417465001345,0.010322032919699109,11,0.0001288752945681683,0.07886266911483486,1000,20,10,8,1,42,0,gpu_hist
0.6755978641938001,0.6755978641938001,17.493402721732856,0.01788333268445063,11,0.00021798564119254458,0.12174396669686316,1000,20,10,8,1,42,0,gpu_hist
0.6746951478096175,0.6746951478096175,26.55903449524194,0.010475403028827145,11,0.00016478346242315275,0.07757341238202464,1000,20,10,8,1,42,0,gpu_hist
0.6752351110742227,0.6752351110742227,15.389804306812584,0.018220722182471838,11,0.00021916265117766568,0.08484910166623466,1000,20,10,8,1,42,0,gpu_hist
0.6743008872386025,0.6743008872386025,15.136163476668298,0.018811052749531126,11,0.00024421638881840467,0.08039774486459711,1000,20,10,8,1,42,0,gpu_hist
0.6736395930168351,0.6736395930168351,17.075140880420804,0.01761853816433783,11,0.00022102042028819503,0.11063191454640503,1000,20,10,8,1,42,0,gpu_hist
0.6754172527816127,0.6754172527816127,17.603230982646345,0.016734174041529763,11,0.00015970071210180038,0.09466114385160719,1000,20,10,8,1,42,0,gpu_hist
0.6759903692236888,0.6759903692236888,15.562590113468469,0.01718790194944661,11,1.1653852439325374e-05,0.08682303128383877,1000,20,10,8,1,42,0,gpu_hist
0.6750801249732017,0.6750801249732017,16.88717072661966,0.018126219885243808,11,0.00018965885347958095,0.03865314875664523,1000,20,10,8,1,42,0,gpu_hist
0.6808455671698348,0.6808455671698348,16.644587616808714,0.016679448817999862,9,5.973485369958057e-08,0.08789550405534913,1000,20,10,8,1,42,0,gpu_hist
0.6829832925606041,0.6829832925606041,16.47791970167309,0.016850506391976394,9,7.574919854139689e-08,0.1456723999491752,1000,20,10,8,1,42,0,gpu_hist
0.6829183248245306,0.6829183248245306,17.717194583266973,0.015875553124859876,9,8.687867946679277e-08,0.1962196047175727,1000,20,10,8,1,42,0,gpu_hist
