cv_score,test_score,runtime,learning_rate,max_depth,reg_alpha,reg_lambda,n_estimators,early_stopping_rounds,max_cat_to_onehot,max_cat_threshold,n_jobs,random_state,verbosity,tree_method
0.895694331799449,0.895694331799449,22.293214748054744,0.03574712922600244,11,0.007177141927992002,0.0006155564318973012,1000,20,10,8,1,42,0,gpu_hist
0.8764678260281773,0.8764678260281773,47.79040380865335,0.01700037298921102,3,2.9152036385288193e-08,0.08499808989182997,1000,20,10,8,1,42,0,gpu_hist
0.8973311852261739,0.8973311852261739,11.509940964542329,0.07725378389307355,9,1.4610865886287176e-08,0.574485163632042,1000,20,10,8,1,42,0,gpu_hist
0.8876218722774366,0.8876218722774366,5.391686638817191,0.16967533607196555,4,2.8483918709107956e-07,2.9324868872723725e-07,1000,20,10,8,1,42,0,gpu_hist
0.8939700179963127,0.8939700179963127,22.024470471963287,0.028145092716060652,7,2.85469785779718e-05,2.1371407316372935e-06,1000,20,10,8,1,42,0,gpu_hist
0.8859697260666822,0.8859697260666822,13.064471105113626,0.08012737503998542,3,2.1734877073417355e-06,8.528933855762793e-06,1000,20,10,8,1,42,0,gpu_hist
0.8971365577128821,0.8971365577128821,13.05419482626021,0.04717052037625178,9,3.9572205641009174e-07,0.00012997969313168238,1000,20,10,8,1,42,0,gpu_hist
0.8879988459383104,0.8879988459383104,18.163609185814856,0.07500118950416987,2,0.0007250347382396634,2.3130924416844053e-07,1000,20,10,8,1,42,0,gpu_hist
0.8907653783442511,0.8907653783442511,40.61645391099155,0.012476394272569451,11,0.530953226900921,0.02932100047183291,1000,20,10,8,1,42,0,gpu_hist
0.881755141994427,0.881755141994427,43.345642887428404,0.028180680291847244,2,0.0029775853025212607,3.320625892007924e-05,1000,20,10,8,1,42,0,gpu_hist
0.8919973892981732,0.8919973892981732,31.6742288723588,0.015144860262751412,6,1.8841183049085085e-08,0.1881755597772026,1000,20,10,8,1,42,0,gpu_hist
0.896207465670108,0.896207465670108,21.314626858383416,0.024112898115291985,8,3.116654126398047e-06,0.00014472520367197597,1000,20,10,8,1,42,0,gpu_hist
0.8867328113224937,0.8867328113224937,19.755013529583813,0.06420330336297862,3,0.5710537951126793,0.01588775693167255,1000,20,10,8,1,42,0,gpu_hist
0.8953555363022836,0.8953555363022836,7.441364349424839,0.24420460844911424,10,0.0006070155694141794,0.23713402899336497,1000,20,10,8,1,42,0,gpu_hist
0.8814150979716764,0.8814150979716764,64.98823041655123,0.01351182947645082,3,2.300479202014574e-08,4.005370050283172e-06,1000,20,10,8,1,42,0,gpu_hist
0.8932339187792664,0.8932339187792664,21.092948011495174,0.03750796359625606,4,0.04264813784432918,7.145401117237584e-06,1000,20,10,8,1,42,0,gpu_hist
0.8957115652769676,0.8957115652769676,20.067695395648478,0.026000059117302653,7,1.3408920002835378e-07,0.026156272064707428,1000,20,10,8,1,42,0,gpu_hist
