cv_score,test_score,runtime,learning_rate,max_depth,reg_alpha,reg_lambda,n_estimators,early_stopping_rounds,max_cat_to_onehot,max_cat_threshold,n_jobs,random_state,verbosity,tree_method
0.7716569126146986,0.7716569126146986,21.83479972425848,0.03574712922600244,11,0.007177141927992002,0.0006155564318973012,1000,20,10,8,1,42,0,gpu_hist
0.7699519467062215,0.7699519467062215,48.60290310047567,0.01700037298921102,3,2.9152036385288193e-08,0.08499808989182997,1000,20,10,8,1,42,0,gpu_hist
0.7756066092728677,0.7756066092728677,20.741293136589228,0.07725378389307355,9,1.4610865886287176e-08,0.574485163632042,1000,20,10,8,1,42,0,gpu_hist
0.7817589728586247,0.7817589728586247,10.493228639476001,0.16967533607196555,4,2.8483918709107956e-07,2.9324868872723725e-07,1000,20,10,8,1,42,0,gpu_hist
0.7774404302845979,0.7774404302845979,27.71974620334804,0.028145092716060652,7,2.85469785779718e-05,2.1371407316372935e-06,1000,20,10,8,1,42,0,gpu_hist
0.7679217983486419,0.7679217983486419,18.581849492713808,0.08012737503998542,3,2.1734877073417355e-06,8.528933855762793e-06,1000,20,10,8,1,42,0,gpu_hist
0.7775861539221894,0.7775861539221894,26.210327103361486,0.04717052037625178,9,3.9572205641009174e-07,0.00012997969313168238,1000,20,10,8,1,42,0,gpu_hist
0.7795194530804477,0.7795194530804477,15.314190107770264,0.07500118950416987,2,0.0007250347382396634,2.3130924416844053e-07,1000,20,10,8,1,42,0,gpu_hist
0.7826292188701914,0.7826292188701914,68.64628548827022,0.012476394272569451,11,0.530953226900921,0.02932100047183291,1000,20,10,8,1,42,0,gpu_hist
0.7619239254213991,0.7619239254213991,26.325537482090294,0.028180680291847244,2,0.0029775853025212607,3.320625892007924e-05,1000,20,10,8,1,42,0,gpu_hist
0.7687329321719736,0.7687329321719736,39.62775902915746,0.015144860262751412,6,1.8841183049085085e-08,0.1881755597772026,1000,20,10,8,1,42,0,gpu_hist
0.7743339394217444,0.7743339394217444,29.602379008196294,0.024112898115291985,8,3.116654126398047e-06,0.00014472520367197597,1000,20,10,8,1,42,0,gpu_hist
0.7630780421577025,0.7630780421577025,15.7311719276011,0.06420330336297862,3,0.5710537951126793,0.01588775693167255,1000,20,10,8,1,42,0,gpu_hist
0.7743490022570416,0.7743490022570416,9.903173915296794,0.24420460844911424,10,0.0006070155694141794,0.23713402899336497,1000,20,10,8,1,42,0,gpu_hist
0.7654045051905634,0.7654045051905634,56.40894772689789,0.01351182947645082,3,2.300479202014574e-08,4.005370050283172e-06,1000,20,10,8,1,42,0,gpu_hist
0.7695545790289902,0.7695545790289902,31.413287152536213,0.03750796359625606,4,0.04264813784432918,7.145401117237584e-06,1000,20,10,8,1,42,0,gpu_hist
0.7639967714217153,0.7639967714217153,26.065296158567072,0.026000059117302653,7,1.3408920002835378e-07,0.026156272064707428,1000,20,10,8,1,42,0,gpu_hist
0.7632666423298231,0.7632666423298231,42.814680628292265,0.012886065671894011,11,0.015064619068942013,3.8879928024075543e-07,1000,20,10,8,1,42,0,gpu_hist
0.7613693526685195,0.7613693526685195,59.045006419532,0.010189592979395137,10,0.0045170900739091345,0.006792933207180863,1000,20,10,8,1,42,0,gpu_hist
0.7800167581956703,0.7800167581956703,11.269647972285748,0.13780336485751998,2,7.374385355858303e-06,8.451863533931625e-08,1000,20,10,8,1,42,0,gpu_hist
0.7714458040227505,0.7714458040227505,13.327988056093455,0.18832519048593593,8,4.4379683310623375e-06,3.224532824812341e-08,1000,20,10,8,1,42,0,gpu_hist
0.7684205958780183,0.7684205958780183,30.832741636224092,0.028797752657070342,5,0.006868302692995721,0.0012602588933700108,1000,20,10,8,1,42,0,gpu_hist
0.7685701816253541,0.7685701816253541,41.51255951728672,0.012670320565187606,5,1.1491548505141152e-08,1.3921787642542158e-08,1000,20,10,8,1,42,0,gpu_hist
0.7673182066690556,0.7673182066690556,12.578414652310311,0.15665712915556934,5,6.475932158765276e-05,2.802851886104923e-08,1000,20,10,8,1,42,0,gpu_hist
0.7747842168503158,0.7747842168503158,10.679343277774752,0.18832088535105665,5,3.098780728807542e-08,1.1947723362078317e-08,1000,20,10,8,1,42,0,gpu_hist
0.7841493653894454,0.7841493653894454,11.597010633535684,0.15105812997121756,5,2.030365104518484e-07,1.3341435611607548e-08,1000,20,10,8,1,42,0,gpu_hist
0.771129377451937,0.771129377451937,13.242522269673646,0.13357117849842068,5,2.699054304850402e-07,1.1001031191484765e-08,1000,20,10,8,1,42,0,gpu_hist
0.7795741926516084,0.7795741926516084,12.81273812931031,0.1385740679720935,5,2.429632503405282e-07,2.464058335651331e-08,1000,20,10,8,1,42,0,gpu_hist
0.7772990378404426,0.7772990378404426,14.117970457673072,0.13811007646509937,5,2.296149226602531e-05,1.3019037673920858e-08,1000,20,10,8,1,42,0,gpu_hist
0.7788353160714567,0.7788353160714567,13.298975346423685,0.1276027284005757,5,3.1991996228653803e-05,1.0679213487950595e-08,1000,20,10,8,1,42,0,gpu_hist
0.7742950919363202,0.7742950919363202,12.613317712396384,0.11331824238417076,5,3.80456690026238e-07,3.4351844136884844e-07,1000,20,10,8,1,42,0,gpu_hist
0.7725093575816719,0.7725093575816719,14.057036343216897,0.1196890828618731,4,3.0344355315616645e-07,3.6290242644904955e-07,1000,20,10,8,1,42,0,gpu_hist
0.7571564608322383,0.7571564608322383,8.58687191605568,0.2988203998801815,5,6.52764728477417e-07,3.2634807564025655e-07,1000,20,10,8,1,42,0,gpu_hist
