cv_score,test_score,runtime,learning_rate,max_depth,reg_alpha,reg_lambda,n_estimators,early_stopping_rounds,max_cat_to_onehot,max_cat_threshold,n_jobs,random_state,verbosity,tree_method
0.7620699055944808,0.7620699055944808,6.892928879521787,0.03574712922600244,11,0.007177141927992002,0.0006155564318973012,1000,20,10,8,1,42,0,gpu_hist
0.7678873117625497,0.7678873117625497,15.988698470778763,0.01700037298921102,3,2.9152036385288193e-08,0.08499808989182997,1000,20,10,8,1,42,0,gpu_hist
0.7676253086971416,0.7676253086971416,4.406206615827978,0.07725378389307355,9,1.4610865886287176e-08,0.574485163632042,1000,20,10,8,1,42,0,gpu_hist
0.768771931396642,0.768771931396642,3.346370616555214,0.16967533607196555,4,2.8483918709107956e-07,2.9324868872723725e-07,1000,20,10,8,1,42,0,gpu_hist
0.7695717479760238,0.7695717479760238,5.999578991346061,0.028145092716060652,7,2.85469785779718e-05,2.1371407316372935e-06,1000,20,10,8,1,42,0,gpu_hist
0.7688358836353353,0.7688358836353353,4.387962216511369,0.08012737503998542,3,2.1734877073417355e-06,8.528933855762793e-06,1000,20,10,8,1,42,0,gpu_hist
0.7639562156744212,0.7639562156744212,5.66044227797538,0.04717052037625178,9,3.9572205641009174e-07,0.00012997969313168238,1000,20,10,8,1,42,0,gpu_hist
0.7625013917373462,0.7625013917373462,5.7218257950618865,0.07500118950416987,2,0.0007250347382396634,2.3130924416844053e-07,1000,20,10,8,1,42,0,gpu_hist
0.7651284135032286,0.7651284135032286,14.924080302007496,0.012476394272569451,11,0.530953226900921,0.02932100047183291,1000,20,10,8,1,42,0,gpu_hist
0.7628862373878124,0.7628862373878124,12.109978860244155,0.028180680291847244,2,0.0029775853025212607,3.320625892007924e-05,1000,20,10,8,1,42,0,gpu_hist
0.7691066762189618,0.7691066762189618,13.293860340677202,0.015144860262751412,6,1.8841183049085085e-08,0.1881755597772026,1000,20,10,8,1,42,0,gpu_hist
0.7670588489156683,0.7670588489156683,8.534191037528217,0.024112898115291985,8,3.116654126398047e-06,0.00014472520367197597,1000,20,10,8,1,42,0,gpu_hist
0.7702784020228939,0.7702784020228939,6.268688149936497,0.06420330336297862,3,0.5710537951126793,0.01588775693167255,1000,20,10,8,1,42,0,gpu_hist
0.7576763156801846,0.7576763156801846,1.3698972342535853,0.24420460844911424,10,0.0006070155694141794,0.23713402899336497,1000,20,10,8,1,42,0,gpu_hist
0.7680188225532685,0.7680188225532685,9.333334693685174,0.01351182947645082,3,2.300479202014574e-08,4.005370050283172e-06,1000,20,10,8,1,42,0,gpu_hist
0.7699687714796896,0.7699687714796896,1.95763043127954,0.03750796359625606,4,0.04264813784432918,7.145401117237584e-06,1000,20,10,8,1,42,0,gpu_hist
0.7687274798789374,0.7687274798789374,6.877543356828392,0.026000059117302653,7,1.3408920002835378e-07,0.026156272064707428,1000,20,10,8,1,42,0,gpu_hist
0.764380537606326,0.764380537606326,16.812942260503767,0.012886065671894011,11,0.015064619068942013,3.8879928024075543e-07,1000,20,10,8,1,42,0,gpu_hist
0.7632030741699363,0.7632030741699363,11.372035100869834,0.010189592979395137,10,0.0045170900739091345,0.006792933207180863,1000,20,10,8,1,42,0,gpu_hist
0.7721614692418816,0.7721614692418816,17.79829609747976,0.012125716084988705,5,0.695794671944866,1.5746062055158548e-08,1000,20,10,8,1,42,0,gpu_hist
0.7711922658595652,0.7711922658595652,17.25457554385066,0.0140290714708038,5,0.7505703409641596,0.006829036110317537,1000,20,10,8,1,42,0,gpu_hist
0.7724385630655861,0.7724385630655861,13.742591827921569,0.013907038136945738,5,0.8587298334266898,2.123955475289575e-08,1000,20,10,8,1,42,0,gpu_hist
0.772596007650433,0.772596007650433,15.628466471098363,0.016081708981861655,5,0.8005499201049143,2.371302724274638e-08,1000,20,10,8,1,42,0,gpu_hist
0.7720890928814527,0.7720890928814527,7.4793071139603855,0.04928235056220389,5,0.4004473568203371,1.3603046223365191e-08,1000,20,10,8,1,42,0,gpu_hist
0.772053600806245,0.772053600806245,7.82978961635381,0.047621013381367414,5,0.8995014296684516,0.002597433663189792,1000,20,10,8,1,42,0,gpu_hist
0.7774628303286983,0.7774628303286983,6.552046677097678,0.04683592145132531,5,0.9185467619639744,2.2189651853505493e-08,1000,20,10,8,1,42,0,gpu_hist
0.7732512547883056,0.7732512547883056,7.125321637839079,0.057178818749493376,5,0.9883243810305332,1.2394535348656966e-08,1000,20,10,8,1,42,0,gpu_hist
0.7741606899636221,0.7741606899636221,6.363306047208607,0.05375097777076726,5,0.9101955778235294,0.0030481537207848425,1000,20,10,8,1,42,0,gpu_hist
0.7727824291868286,0.7727824291868286,6.11114163082093,0.0578436461756876,5,0.8325495752631683,1.1617457298617536e-08,1000,20,10,8,1,42,0,gpu_hist
0.7725349769147507,0.7725349769147507,5.224027066677809,0.054904843235114,5,0.550872004212357,9.363490874254384e-08,1000,20,10,8,1,42,0,gpu_hist
0.7731348255281392,0.7731348255281392,6.8306095689535145,0.05052835705961991,5,0.9510040600535038,1.0275744867236026e-08,1000,20,10,8,1,42,0,gpu_hist
0.7713526657712875,0.7713526657712875,5.546971304155886,0.05908814079167824,5,0.10959900029710241,1.8293661861633323e-08,1000,20,10,8,1,42,0,gpu_hist
0.7707971491394829,0.7707971491394829,3.3685968782752753,0.10290414299802828,6,0.05400681969776154,1.0836432895821748e-08,1000,20,10,8,1,42,0,gpu_hist
0.7699113116374601,0.7699113116374601,3.975370372645557,0.10865462106813803,6,0.08243867408324848,4.6019331077497486e-08,1000,20,10,8,1,42,0,gpu_hist
0.7683601408709576,0.7683601408709576,4.036784783750773,0.10433226688294521,6,0.106678255241893,6.066228854224059e-08,1000,20,10,8,1,42,0,gpu_hist
