cv_score,test_score,runtime,num_layers,total_tree_count,tree_depth,seed
0.7574974956928349,0.7574974956928349,353.261605415307,4,1024,6,42
0.7627401658185076,0.7627401658185076,747.9014779752121,2,2048,6,42
0.7523041562105414,0.7523041562105414,540.9847718723119,8,1024,8,42
0.7525442044663008,0.7525442044663008,869.3951449695975,8,2048,8,42
0.7523041562105414,0.7523041562105414,483.1122866313905,8,1024,8,42
0.7633916258730687,0.7633916258730687,463.8998296391219,2,1024,8,42
0.7580495277830964,0.7580495277830964,469.8532225674018,4,1024,8,42
0.7580495277830964,0.7580495277830964,415.89191918428986,4,1024,8,42
0.7606947645261516,0.7606947645261516,691.1332735920325,4,2048,8,42
-1.7976931348623157e+308,-1.7976931348623157e+308,1693428582.0,,,,
-1.7976931348623157e+308,-1.7976931348623157e+308,1693429048.0,,,,
0.7574974956928349,0.7574974956928349,260.2900237472728,4,1024,6,42
