cv_score,test_score,runtime,num_layers,total_tree_count,tree_depth,seed
0.8961915346567106,0.8961915346567106,167.7093635385856,4,1024,6,42
0.8879384053571036,0.8879384053571036,453.07681978996845,2,2048,6,42
0.8789344742390123,0.8789344742390123,312.82141731865704,8,1024,8,42
0.8585485000160619,0.8585485000160619,507.52240490149705,8,2048,8,42
0.8789344742390123,0.8789344742390123,318.62273358255624,8,1024,8,42
0.8978463727548271,0.8978463727548271,557.047854716517,2,1024,8,42
0.8917329070052631,0.8917329070052631,416.2906128266826,4,1024,8,42
0.8917329070052631,0.8917329070052631,395.2965830573812,4,1024,8,42
0.8899158732899053,0.8899158732899053,992.4844577191398,4,2048,8,42
0.8585485000160619,0.8585485000160619,440.5228547926992,8,2048,8,42
0.8978463727548271,0.8978463727548271,507.08546768482773,2,1024,8,42
0.8961915346567106,0.8961915346567106,257.6592136442661,4,1024,6,42
