cv_score,test_score,runtime,num_layers,total_tree_count,tree_depth,seed
0.9142089239270191,0.9142089239270191,236.11860524136574,4,1024,6,42
0.9130154719768715,0.9130154719768715,616.3682345563545,2,2048,6,42
0.9112446893086641,0.9112446893086641,258.0029340721667,8,1024,8,42
0.9101012431185207,0.9101012431185207,577.7033640662208,8,2048,8,42
0.9112446893086641,0.9112446893086641,226.7687782837078,8,1024,8,42
0.9120232906441123,0.9120232906441123,560.9096531318501,2,1024,8,42
0.9154171109308347,0.9154171109308347,414.3015326131135,4,1024,8,42
0.9154171109308347,0.9154171109308347,429.802738676779,4,1024,8,42
0.9124230284718416,0.9124230284718416,964.719030765444,4,2048,8,42
0.9101012431185207,0.9101012431185207,657.3034353395924,8,2048,8,42
0.9120232906441123,0.9120232906441123,548.9823300272226,2,1024,8,42
0.9142089239270191,0.9142089239270191,338.44522038176655,4,1024,6,42
