cv_score,test_score,runtime,num_layers,total_tree_count,tree_depth,seed
0.8429423020387183,0.8429423020387183,221.168308833614,4,1024,6,42
0.826488286667154,0.826488286667154,685.6542907042428,2,2048,6,42
0.842013669496486,0.842013669496486,321.69809244479984,8,1024,8,42
0.840602732912151,0.840602732912151,652.4950836453587,8,2048,8,42
0.842013669496486,0.842013669496486,314.7135281795636,8,1024,8,42
0.8285061666572066,0.8285061666572066,808.7494499813765,2,1024,8,42
0.8450847456283886,0.8450847456283886,461.423495852761,4,1024,8,42
0.8450847456283886,0.8450847456283886,585.1593408811838,4,1024,8,42
0.8462811513147909,0.8462811513147909,839.5112616594881,4,2048,8,42
0.840602732912151,0.840602732912151,463.5851184152067,8,2048,8,42
0.8285061666572066,0.8285061666572066,786.7898615742102,2,1024,8,42
0.8429423020387183,0.8429423020387183,236.74781947880984,4,1024,6,42
