cv_score,test_score,runtime,num_layers,total_tree_count,tree_depth,seed
0.8347966389225798,0.8347966389225798,78.95919495131821,4,1024,6,42
0.8376192907721741,0.8376192907721741,289.7132261674851,2,2048,6,42
0.8341749111025797,0.8341749111025797,167.07391090281308,8,1024,8,42
0.8289641081035855,0.8289641081035855,303.16548514924943,8,2048,8,42
0.8341749111025797,0.8341749111025797,172.18216900173576,8,1024,8,42
0.8321753311957778,0.8321753311957778,253.4303058937192,2,1024,8,42
0.8362077809965621,0.8362077809965621,148.72419386636466,4,1024,8,42
0.8362077809965621,0.8362077809965621,220.85527831111102,4,1024,8,42
0.8331742820267548,0.8331742820267548,478.73475489299744,4,2048,8,42
0.8289641081035855,0.8289641081035855,195.32645686380565,8,2048,8,42
0.8321753311957778,0.8321753311957778,342.5338964983821,2,1024,8,42
0.8347966389225798,0.8347966389225798,112.82535602524877,4,1024,6,42
