cv_score,test_score,runtime,num_layers,total_tree_count,tree_depth,seed
0.7040321100695148,0.7040321100695148,23.36476347465068,4,1024,6,42
0.7095743768992561,0.7095743768992561,113.84515261333436,2,2048,6,42
0.6753666736943609,0.6753666736943609,60.20800402201712,8,1024,8,42
0.7091116702241221,0.7091116702241221,177.63858610149472,8,2048,8,42
0.6753666736943609,0.6753666736943609,54.83911197334528,8,1024,8,42
0.711125009018754,0.711125009018754,144.77141331359744,2,1024,8,42
0.7103217949516862,0.7103217949516862,60.577547622472046,4,1024,8,42
0.7103217949516862,0.7103217949516862,81.80675572734326,4,1024,8,42
0.7049877407153083,0.7049877407153083,128.17140079252422,4,2048,8,42
0.7091116702241221,0.7091116702241221,166.9648672701791,8,2048,8,42
0.711125009018754,0.711125009018754,171.23054970968514,2,1024,8,42
0.7040321100695148,0.7040321100695148,43.51803487744182,4,1024,6,42
