cv_score,test_score,runtime,num_layers,total_tree_count,tree_depth,seed
0.9699092691159255,0.9699092691159255,202.27620562911034,4,1024,6,42
0.9722660777286721,0.9722660777286721,339.8902331136167,2,2048,6,42
0.9633852104068976,0.9633852104068976,301.9382004920393,8,1024,8,42
0.9703960003655177,0.9703960003655177,648.1583955220879,8,2048,8,42
0.9633852104068976,0.9633852104068976,302.0647311095148,8,1024,8,42
0.971323689997195,0.971323689997195,311.82138656117024,2,1024,8,42
0.968019465312444,0.968019465312444,338.38087094016373,4,1024,8,42
0.968019465312444,0.968019465312444,311.4341524131596,4,1024,8,42
0.968522209947573,0.968522209947573,544.461167867668,4,2048,8,42
0.9703960003655177,0.9703960003655177,573.0789706563577,8,2048,8,42
0.971323689997195,0.971323689997195,334.2445787128061,2,1024,8,42
0.9699092691159255,0.9699092691159255,188.69929659962654,4,1024,6,42
