cv_score,test_score,runtime,num_layers,total_tree_count,tree_depth,seed
0.9479202544559179,0.9479202544559179,1057.5854202633723,4,1024,6,42
0.9516751057057163,0.9516751057057163,1716.4418147120625,2,2048,6,42
0.9463241052077029,0.9463241052077029,1184.4573484988882,8,1024,8,42
0.9480665217757032,0.9480665217757032,3062.9507213512434,8,2048,8,42
0.9463241052077029,0.9463241052077029,1263.3867054957896,8,1024,8,42
0.9508582469457639,0.9508582469457639,1422.827764069289,2,1024,8,42
0.9486620777678818,0.9486620777678818,1325.2301125507802,4,1024,8,42
0.9486620777678818,0.9486620777678818,883.775847405754,4,1024,8,42
0.949163936473959,0.949163936473959,1723.9203488672151,4,2048,8,42
0.9480665217757032,0.9480665217757032,1346.0307012170554,8,2048,8,42
0.9508582469457639,0.9508582469457639,893.3775893671439,2,1024,8,42
0.9479202544559179,0.9479202544559179,395.0576134454459,4,1024,6,42
