cv_score,test_score,runtime,learning_rate,max_depth,l2_leaf_reg,n_estimators,early_stopping_rounds,random_seed,verbose,gpu_ram_part,used_ram_limit,thread_count,boosting_type,devices,task_type
0.8572637028944744,0.8572637028944744,298.103761523217,0.03574712922600244,11,10.013039911391244,1000,20,42,0,0.05833333333333333,16GB,1,Plain,0,GPU
0.8166317094778052,0.8166317094778052,96.10202230904251,0.07661100707771368,3,0.947004092290444,1000,20,42,0,0.05833333333333333,16GB,1,Plain,0,GPU
0.8601200017507267,0.8601200017507267,429.5734442576766,0.012184186502221764,10,5.8592686909850995,1000,20,42,0,0.05833333333333333,16GB,1,Plain,0,GPU
0.7889595316197756,0.7889595316197756,66.23156342841685,0.11114989443094977,2,26.522619858998844,1000,20,42,0,0.05833333333333333,16GB,1,Plain,0,GPU
0.8320462458272294,0.8320462458272294,39.893918024748565,0.16967533607196555,4,1.0526458851636462,1000,20,42,0,0.05833333333333333,16GB,1,Plain,0,GPU
0.8341410308447805,0.8341410308447805,248.65735601186753,0.018659959624904916,5,4.286139574719072,1000,20,42,0,0.05833333333333333,16GB,1,Plain,0,GPU
0.8308230668149813,0.8308230668149813,178.97299244999886,0.04345454109729477,4,6.12261560602803,1000,20,42,0,0.05833333333333333,16GB,1,Plain,0,GPU
0.8176483821053523,0.8176483821053523,273.7098503326997,0.01607123851203988,4,2.2408705759398253,1000,20,42,0,0.05833333333333333,16GB,1,Plain,0,GPU
0.8531538030450706,0.8531538030450706,94.71117621827871,0.04717052037625178,9,1.1324530081857673,1000,20,42,0,0.05833333333333333,16GB,1,Plain,0,GPU
0.8486895231550061,0.8486895231550061,98.78949805367738,0.05748924681991978,7,0.6047360568422392,1000,20,42,0,0.05833333333333333,16GB,1,Plain,0,GPU
0.8140832891633188,0.8140832891633188,90.1284821048379,0.07896186801026692,3,0.6525917448358933,1000,20,42,0,0.05833333333333333,16GB,1,Plain,0,GPU
0.8303210902017847,0.8303210902017847,86.50459484942257,0.2521267904777921,11,13.690608760126286,1000,20,42,0,0.05833333333333333,16GB,1,Plain,0,GPU
0.7871755999099977,0.7871755999099977,195.60875674840062,0.028180680291847244,2,8.234548958371454,1000,20,42,0,0.05833333333333333,16GB,1,Plain,0,GPU
0.8022428191965686,0.8022428191965686,133.06346429474652,0.044684675025045834,3,3.7972522333763474,1000,20,42,0,0.05833333333333333,16GB,1,Plain,0,GPU
0.8470107691859251,0.8470107691859251,307.00551480781286,0.011240768803005551,11,1.4425137189844253,1000,20,42,0,0.05833333333333333,16GB,1,Plain,0,GPU
0.8428318363587938,0.8428318363587938,98.54455661661923,0.09519754482692679,5,4.204647637909146,1000,20,42,0,0.05833333333333333,16GB,1,Plain,0,GPU
0.8092166869274919,0.8092166869274919,125.7299200521782,0.06420330336297862,3,26.487326352428674,1000,20,42,0,0.05833333333333333,16GB,1,Plain,0,GPU
0.840307141951936,0.840307141951936,137.09452855028212,0.13962563737015762,11,19.50331236061207,1000,20,42,0,0.05833333333333333,16GB,1,Plain,0,GPU
0.8279985585314161,0.8279985585314161,92.09431967400015,0.0764136186923332,11,0.718328433689,1000,20,42,0,0.05833333333333333,16GB,1,Plain,0,GPU
0.779351176961196,0.779351176961196,252.0962335564196,0.01947558230629543,2,1.894333932851414,1000,20,42,0,0.05833333333333333,16GB,1,Plain,0,GPU
0.8154768315658704,0.8154768315658704,188.52633197363465,0.03750796359625606,4,14.879578963571907,1000,20,42,0,0.05833333333333333,16GB,1,Plain,0,GPU
0.8241142343135326,0.8241142343135326,178.6275187557563,0.03364867144187954,4,4.61281166373907,1000,20,42,0,0.05833333333333333,16GB,1,Plain,0,GPU
0.8574301206652514,0.8574301206652514,200.32767386697233,0.020261808380525777,8,1.8532228575092509,1000,20,42,0,0.05833333333333333,16GB,1,Plain,0,GPU
0.8553318404502577,0.8553318404502577,199.78082804922013,0.020593948117397887,8,1.601189835309363,1000,20,42,0,0.05833333333333333,16GB,1,Plain,0,GPU
0.849785359045556,0.849785359045556,139.4170780621469,0.021859336832024776,8,1.4970609583960492,1000,20,42,0,0.05833333333333333,16GB,1,Plain,0,GPU
0.8580710433973966,0.8580710433973966,325.71332793775946,0.011713819802623286,8,1.731145617801992,1000,20,42,0,0.05833333333333333,16GB,1,Plain,0,GPU
0.8569027709507913,0.8569027709507913,228.61540994066746,0.013571826450112942,9,1.526907310340374,1000,20,42,0,0.05833333333333333,16GB,1,Plain,0,GPU
0.8582300748212599,0.8582300748212599,302.75320674739777,0.014410264584569968,8,1.5654800748896371,1000,20,42,0,0.05833333333333333,16GB,1,Plain,0,GPU
0.8567606314561322,0.8567606314561322,269.7292431347072,0.011299614326578366,8,1.472228645355879,1000,20,42,0,0.05833333333333333,16GB,1,Plain,0,GPU
0.8549300894659975,0.8549300894659975,242.8929652284831,0.010938275506641048,9,1.6541039831545856,1000,20,42,0,0.05833333333333333,16GB,1,Plain,0,GPU
0.8584578831427606,0.8584578831427606,311.6979016998783,0.012775022303248663,9,2.3266395896680026,1000,20,42,0,0.05833333333333333,16GB,1,Plain,0,GPU
0.8568477118168563,0.8568477118168563,311.8871042465791,0.012860958585507502,9,2.3879913444630487,1000,20,42,0,0.05833333333333333,16GB,1,Plain,0,GPU
0.8593302091140137,0.8593302091140137,302.65024711564183,0.01059650909762617,9,2.4340596929962004,1000,20,42,0,0.05833333333333333,16GB,1,Plain,0,GPU
0.8553556474103214,0.8553556474103214,185.73976999670268,0.025117368779358454,9,2.599572537157769,1000,20,42,0,0.05833333333333333,16GB,1,Plain,0,GPU
0.853833580389446,0.853833580389446,187.00046002920718,0.02680369521201654,9,2.6271618680736406,1000,20,42,0,0.05833333333333333,16GB,1,Plain,0,GPU
0.8530670006839628,0.8530670006839628,183.89734292607756,0.02633063495091846,9,2.439215984252735,1000,20,42,0,0.05833333333333333,16GB,1,Plain,0,GPU
